# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
секунд,20
середину,20
служит,20
случайности,20
снова,20
собрались,20
совете,20
сотни,20
спасибо,20
стакан,20
счастливо,20
счастливым,20
трубку,20
ударил,20
усилие,20
усилием,20
французским,20
хлеба,20
ходили,20
хозяин,20
худой,20
чужой,20
шесть,20
эй,20
явился,20
явлений,20
ярко,20
артиллерии,19
атака,19
багратиону,19
безухова,19
белыми,19
блага,19
блестящие,19
брать,19
будешь,19
бывшие,19
бывших,19
быстрее,19
быстрым,19
верил,19
верю,19
взят,19
воспоминаний,19
восток,19
восторга,19
вправо,19
вскочил,19
вступить,19
высокого,19
гостья,19
готова,19
готовы,19
держа,19
доложить,19
дохтуров,19
дочерью,19
единственное,19
ермолов,19
жалости,19
живет,19
заснул,19
затем,19
играл,19
игры,19
извольте,19
изменить,19
историков,19
каждому,19
каких,19
кровью,19
местности,19
мрачно,19
мужчин,19
намерение,19
настоящей,19
находились,19
начать,19
недоволен,19
нежно,19
